Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141244,Apple Airpods Headphones,1,150.0,01/07/19 11:29,"492 Walnut St, San Francisco, CA 94016"
141275,USB-C Charging Cable,1,11.95,01/07/19 16:06,"610 Walnut St, Austin, TX 73301"
141275,Wired Headphones,1,11.99,01/07/19 16:06,"610 Walnut St, Austin, TX 73301"
141310,AAA Batteries (4-pack),1,2.99,01/07/19 13:32,"679 8th St, San Francisco, CA 94016"
141402,AAA Batteries (4-pack),1,2.99,01/07/19 12:56,"939 Lakeview St, Atlanta, GA 30301"
141408,Apple Airpods Headphones,1,150.0,01/07/19 13:25,"103 14th St, San Francisco, CA 94016"
141448,Bose SoundSport Headphones,1,99.99,01/07/19 15:50,"895 Forest St, San Francisco, CA 94016"
141459,AAA Batteries (4-pack),1,2.99,01/07/19 13:20,"344 Lakeview St, New York City, NY 10001"
141468,Flatscreen TV,1,300.0,01/07/19 15:21,"268 8th St, Austin, TX 73301"
141475,Lightning Charging Cable,1,14.95,01/07/19 08:41,"548 10th St, Boston, MA 02215"
141485,27in 4K Gaming Monitor,1,389.99,01/07/19 21:06,"566 Park St, New York City, NY 10001"
141494,AA Batteries (4-pack),2,3.84,01/07/19 00:40,"237 Forest St, Austin, TX 73301"
141525,AAA Batteries (4-pack),2,2.99,01/07/19 04:31,"590 Jackson St, Los Angeles, CA 90001"
141575,USB-C Charging Cable,1,11.95,01/07/19 10:42,"787 Highland St, Seattle, WA 98101"
141601,Lightning Charging Cable,1,14.95,01/07/19 19:45,"745 2nd St, Atlanta, GA 30301"
141693,Wired Headphones,1,11.99,01/07/19 22:01,"733 Meadow St, New York City, NY 10001"
141712,AA Batteries (4-pack),1,3.84,01/07/19 12:12,"164 Walnut St, Los Angeles, CA 90001"
141775,USB-C Charging Cable,1,11.95,01/07/19 17:15,"348 Pine St, Atlanta, GA 30301"
141784,27in 4K Gaming Monitor,1,389.99,01/07/19 11:54,"301 River St, New York City, NY 10001"
141921,Lightning Charging Cable,1,14.95,01/07/19 02:22,"164 Elm St, San Francisco, CA 94016"
141949,USB-C Charging Cable,1,11.95,01/07/19 06:43,"11 14th St, New York City, NY 10001"
142021,Lightning Charging Cable,1,14.95,01/07/19 09:39,"330 Lincoln St, San Francisco, CA 94016"
142038,AAA Batteries (4-pack),3,2.99,01/07/19 08:07,"975 Church St, Atlanta, GA 30301"
142042,Lightning Charging Cable,2,14.95,01/07/19 21:48,"461 Hill St, Boston, MA 02215"
142045,ThinkPad Laptop,1,999.99,01/07/19 12:34,"902 Cherry St, San Francisco, CA 94016"
142136,AA Batteries (4-pack),1,3.84,01/07/19 09:58,"944 Ridge St, Seattle, WA 98101"
142138,AA Batteries (4-pack),1,3.84,01/07/19 09:03,"531 West St, Boston, MA 02215"
142253,27in FHD Monitor,1,149.99,01/07/19 19:07,"295 Jefferson St, Los Angeles, CA 90001"
142284,AA Batteries (4-pack),1,3.84,01/07/19 13:52,"195 River St, New York City, NY 10001"
142333,AAA Batteries (4-pack),1,2.99,01/07/19 11:03,"778 1st St, Dallas, TX 75001"
142340,Wired Headphones,1,11.99,01/07/19 00:08,"99 4th St, Boston, MA 02215"
142360,USB-C Charging Cable,1,11.95,01/07/19 00:31,"572 2nd St, Seattle, WA 98101"
142382,27in FHD Monitor,1,149.99,01/07/19 17:40,"856 2nd St, Dallas, TX 75001"
142397,AA Batteries (4-pack),1,3.84,01/07/19 09:43,"902 9th St, Portland, OR 97035"
142444,Wired Headphones,1,11.99,01/07/19 12:19,"877 West St, San Francisco, CA 94016"
142459,USB-C Charging Cable,1,11.95,01/07/19 06:56,"638 Forest St, Austin, TX 73301"
142575,Google Phone,1,600.0,01/07/19 22:25,"113 13th St, Dallas, TX 75001"
142581,USB-C Charging Cable,1,11.95,01/07/19 15:23,"779 14th St, Boston, MA 02215"
142591,USB-C Charging Cable,1,11.95,01/07/19 12:47,"214 Maple St, San Francisco, CA 94016"
142601,Wired Headphones,1,11.99,01/07/19 10:15,"34 Jackson St, New York City, NY 10001"
142608,Apple Airpods Headphones,1,150.0,01/07/19 09:46,"724 11th St, San Francisco, CA 94016"
142664,Apple Airpods Headphones,1,150.0,01/07/19 11:08,"227 Jackson St, San Francisco, CA 94016"
142704,Lightning Charging Cable,1,14.95,01/07/19 09:15,"331 Wilson St, New York City, NY 10001"
142746,Lightning Charging Cable,2,14.95,01/07/19 05:49,"632 Elm St, Atlanta, GA 30301"
142747,AA Batteries (4-pack),2,3.84,01/07/19 13:15,"350 Spruce St, San Francisco, CA 94016"
142754,USB-C Charging Cable,1,11.95,01/07/19 10:24,"10 West St, Dallas, TX 75001"
142757,34in Ultrawide Monitor,1,379.99,01/07/19 10:26,"614 Cedar St, Atlanta, GA 30301"
142775,27in FHD Monitor,1,149.99,01/07/19 07:00,"258 Lincoln St, Dallas, TX 75001"
142786,27in FHD Monitor,1,149.99,01/07/19 11:16,"756 7th St, Atlanta, GA 30301"
142834,Apple Airpods Headphones,1,150.0,01/07/19 23:48,"697 13th St, San Francisco, CA 94016"
142844,27in FHD Monitor,1,149.99,01/07/19 12:29,"78 Elm St, San Francisco, CA 94016"
142879,Lightning Charging Cable,1,14.95,01/07/19 12:16,"300 Dogwood St, New York City, NY 10001"
142980,USB-C Charging Cable,1,11.95,01/07/19 12:07,"257 10th St, Austin, TX 73301"
142984,AAA Batteries (4-pack),2,2.99,01/07/19 21:04,"590 Chestnut St, Atlanta, GA 30301"
142998,27in FHD Monitor,1,149.99,01/07/19 15:17,"386 Wilson St, San Francisco, CA 94016"
143042,20in Monitor,1,109.99,01/07/19 07:42,"612 10th St, New York City, NY 10001"
143103,AA Batteries (4-pack),1,3.84,01/07/19 12:14,"808 North St, Dallas, TX 75001"
143186,27in 4K Gaming Monitor,1,389.99,01/07/19 00:15,"432 Highland St, Dallas, TX 75001"
143197,Bose SoundSport Headphones,1,99.99,01/07/19 10:07,"15 4th St, Boston, MA 02215"
143218,Lightning Charging Cable,1,14.95,01/07/19 12:15,"192 Hickory St, Atlanta, GA 30301"
143262,Bose SoundSport Headphones,1,99.99,01/07/19 19:53,"780 13th St, New York City, NY 10001"
143268,27in 4K Gaming Monitor,1,389.99,01/07/19 10:28,"744 10th St, Atlanta, GA 30301"
143364,USB-C Charging Cable,1,11.95,01/07/19 19:30,"935 1st St, San Francisco, CA 94016"
143419,Lightning Charging Cable,1,14.95,01/07/19 08:56,"29 Hickory St, Los Angeles, CA 90001"
143464,USB-C Charging Cable,1,11.95,01/07/19 14:41,"521 Spruce St, Seattle, WA 98101"
143479,27in FHD Monitor,1,149.99,01/07/19 17:42,"800 Madison St, New York City, NY 10001"
143480,Macbook Pro Laptop,1,1700.0,01/07/19 11:25,"252 Adams St, Boston, MA 02215"
143492,Apple Airpods Headphones,1,150.0,01/07/19 09:00,"588 1st St, San Francisco, CA 94016"
143532,USB-C Charging Cable,1,11.95,01/07/19 13:16,"607 Walnut St, Atlanta, GA 30301"
143612,LG Washing Machine,1,600.0,01/07/19 17:53,"35 Elm St, Austin, TX 73301"
143651,ThinkPad Laptop,1,999.99,01/07/19 16:15,"631 8th St, Atlanta, GA 30301"
143668,Macbook Pro Laptop,1,1700.0,01/07/19 09:50,"150 Church St, San Francisco, CA 94016"
143687,Wired Headphones,1,11.99,01/07/19 23:51,"842 Washington St, Atlanta, GA 30301"
143693,AAA Batteries (4-pack),5,2.99,01/07/19 13:20,"304 2nd St, New York City, NY 10001"
143765,USB-C Charging Cable,1,11.95,01/07/19 14:24,"938 13th St, San Francisco, CA 94016"
