1,John Doe,johndoe@example.com,555-1234,123 Main St
2,Jane Smith,janesmith@example.com,555-5678,456 Elm St
3,Robert Johnson,robertjohnson@example.com,555-9012,789 Oak St
4,Lisa Anderson,lisaanderson@example.com,555-3456,987 Maple Ave
5,Michael Brown,michaelbrown@example.com,555-7890,321 Pine St
6,Sarah Wilson,sarahwilson@example.com,555-2345,654 Cedar Ave
7,David Thompson,davidthompson@example.com,555-6789,876 Oak St
8,Emily Davis,emilydavis@example.com,555-4321,543 Elm St
9,Andrew Martin,andrewmartin@example.com,555-9876,210 Maple Ave
10,Olivia Johnson,oliviajohnson@example.com,555-0123,987 Pine St
